"community_id","n_authors","pre_audit_label","final_label","display_label","label_changed","confidence","review_status","decision_date","audit_posts_inspected","audit_distinct_authors","evidence_summary","validation_sample_file","validation_diagnostics_file"
"10","4542","AI news and tech press coverage","AI news and tech press coverage","ChatGPT & AI/Tech News","False","high","validated","2026-08-21","","","Label retained; this community was not among the inferential labels selected for the focused cross-author audit.","focused_validation_sample_summary.csv","focused_validation_diagnostics.json"
"6","4098","Mixed AI art and ChatGPT discourse","Mixed AI art and ChatGPT discourse","Mixed AI Art/ChatGPT","False","low","validated","2026-08-21","","","Label retained; this community was not among the inferential labels selected for the focused cross-author audit.","focused_validation_sample_summary.csv","focused_validation_diagnostics.json"
"5","3607","Llama NFT and AI token community","Mixed NFT, AI-token and general-AI posting","NFTs, AI Tokens & AI","True","medium","validated","2026-08-21","25","25","25 posts from 25 authors: NFT, AI-token promotion and general-AI material all appeared; no narrower theme covered the sample.","focused_validation_sample_summary.csv","focused_validation_diagnostics.json"
"18","3281","ChatGPT in education and teaching","ChatGPT in education and teaching","ChatGPT in Education","False","high","validated","2026-08-21","","","Label retained; this community was not among the inferential labels selected for the focused cross-author audit.","focused_validation_sample_summary.csv","focused_validation_diagnostics.json"
"14","2834","Indian ChatGPT and Google search news","India-linked ChatGPT/AI news","India-Linked ChatGPT/AI News","True","low","provisional","2026-08-21","25","25","25 posts from 25 authors: some India-linked institutional/cultural references, no explicit self-reported location; Air India items were aviation false positives.","focused_validation_sample_summary.csv","focused_validation_diagnostics.json"
"13","2699","African ChatGPT and Google search talk","ChatGPT discussion with regional-language markers","ChatGPT + Regional-Language Markers","True","low","provisional","2026-08-21","25","25","25 posts from 25 authors: occasional regional-language markers, no explicit self-reported location; geography is not established.","focused_validation_sample_summary.csv","focused_validation_diagnostics.json"
"15","2005","Music fandom (Bert McCracken)","AI-art criticism and pop-culture mix","AI-Art Criticism & Pop Culture","True","low","provisional","2026-08-21","25","25","25 posts from 25 authors: mixed AI-art criticism, AI discussion and pop culture; the earlier Bert signal appeared once.","focused_validation_sample_summary.csv","focused_validation_diagnostics.json"
"11","1245","Anime AI art (Stable Diffusion)","Anime AI art (Stable Diffusion)","Anime AI Art/Stable Diffusion","False","high","validated","2026-08-21","","","Label retained; this community was not among the inferential labels selected for the focused cross-author audit.","focused_validation_sample_summary.csv","focused_validation_diagnostics.json"
"17","1166","Mixed/general ChatGPT discourse","Mixed/general ChatGPT discourse","Mixed ChatGPT Usage","False","low","validated","2026-08-21","","","Label retained; this community was not among the inferential labels selected for the focused cross-author audit.","focused_validation_sample_summary.csv","focused_validation_diagnostics.json"
"24","1060","Medical imaging and radiology AI","Medical imaging and radiology AI","Medical Imaging AI","False","high","validated","2026-08-21","","","Label retained; this community was not among the inferential labels selected for the focused cross-author audit.","focused_validation_sample_summary.csv","focused_validation_diagnostics.json"
"28","610","AI fantasy art merchandising","Mixed AI/creative-content posting","Mixed AI/Creative Content","True","low","provisional","2026-08-21","25","25","25 posts from 25 authors: mixed AI/creative content and about four merchandise posts; prior fantasy-merchandise evidence was author-concentrated.","focused_validation_sample_summary.csv","focused_validation_diagnostics.json"
